"StationName";"TransliterationStation";"DiameterName";"City";"District";"Area";"Tariff";"Platforms";"MaskStation";"TransferMCD";"TransferAeroExpress";"TransferMetroStation";"AeroexpressStation";"RailwayStation";"ExitTrainStations";"WorkingHours";"ObjectStatus";"global_id";"geoData";"geodata_center";
"Наименование станции МЦД";"Транслитерация наименования станции МЦД";"Наименование МЦД";"Населенный пункт";"Округ";"Район";"Тарифная зона";"Количество платформ";"Является начальной/конечной станцией МЦД";"Пересадка на другой маршрут МЦД";"Пересадка на Аэроэкспресс";"Пересадка на станцию метро и МЦК";"Станция Аэроэкспресс";"Станция радиального железнодорожного направления";"Выход к железнодорожному вокзалу";"График работы";"Статус объекта";"global_id";"geoData";"geodata_center";
"Одинцово";"Odintsovo";"МЦД-1";"Одинцовский городской округ";"";"";"Пригород";"3";"да";"";"Шереметьево";"nested data";"{global_id=1509001630, value=Одинцово}";"[]";"";"nested data";"действует";"1058815439";"{coordinates=[37.281532, 55.672189], type=Point}";"";
"Баковка";"Bakovka";"МЦД-1";"Одинцовский городской округ";"";"";"Пригород";"2";"нет";"";"Шереметьево";"nested data";"{global_id=1509001278, value=Баковка}";"[]";"";"nested data";"действует";"1058819388";"{coordinates=[37.317476, 55.683022], type=Point}";"";
"Сколково";"Skolkovo";"МЦД-1";"Одинцовский городской округ";"";"";"Пригород";"3";"нет";"";"Шереметьево";"nested data";"{global_id=1509001201, value=Сколково}";"[]";"";"nested data";"действует";"1058901090";"{coordinates=[37.342054, 55.70023], type=Point}";"";
"Немчиновка";"Nemchinovka";"МЦД-1";"Одинцовский городской округ";"";"";"Пригород";"2";"нет";"";"Шереметьево";"nested data";"{global_id=1508999617, value=Немчиновка}";"[]";"";"nested data";"действует";"1058901245";"{coordinates=[37.375731, 55.716016], type=Point}";"";
"Сетунь";"Setun";"МЦД-1";"город Москва";"Западный административный округ";"Можайский район";"Центральная";"2";"нет";"";"Шереметьево";"nested data";"{global_id=1508997643, value=Сетунь}";"{global_id=1132155504, value=Сетунь}";"";"nested data";"действует";"1058901441";"{coordinates=[37.397316, 55.723642], type=Point}";"";
"Рабочий поселок";"Rabochiy Posyolok";"МЦД-1";"город Москва";"Западный административный округ";"район Кунцево";"Центральная";"3";"нет";"";"Шереметьево";"nested data";"{global_id=1508986109, value=Рабочий поселок}";"{global_id=1132155393, value=Рабочий посёлок}";"";"nested data";"действует";"1058901634";"{coordinates=[37.417074, 55.727221], type=Point}";"";
"Кунцевская";"Kuntsevskaya";"МЦД-1";"город Москва";"Западный административный округ";"район Фили-Давыдково";"Центральная";"2";"нет";"";"Шереметьево";"nested data";"{global_id=1508986102, value=Кунцевская}";"{global_id=1132155392, value=Кунцевская}";"";"nested data";"действует";"1058901824";"{coordinates=[37.449219, 55.726852], type=Point}";"";
"Славянский бульвар";"Slavyanskiy Bulvar";"МЦД-1";"город Москва";"Западный административный округ";"район Фили-Давыдково";"Центральная";"2";"нет";"";"Шереметьево";"nested data";"{global_id=1508985977, value=Славянский бульвар}";"{global_id=1132155390, value=Славянский бульвар}";"";"nested data";"действует";"1058902031";"{coordinates=[37.472953, 55.730464], type=Point}";"";
"Фили";"Fili";"МЦД-1";"город Москва";"Западный административный округ";"район Дорогомилово";"Центральная";"3";"нет";"";"Шереметьево";"nested data";"{global_id=1508985884, value=Фили}";"{global_id=1132155388, value=Фили}";"";"nested data";"действует";"1058903042";"{coordinates=[37.515334, 55.744256], type=Point}";"";
"Тестовская (Москва-Сити)";"Testovskaya (Moskva-Siti)";"МЦД-1";"город Москва";"Центральный административный округ";"Пресненский район";"Центральная";"2";"нет";"";"Шереметьево";"nested data";"{global_id=1508985132, value=Тестовская}";"{global_id=1132155494, value=Тестовская}";"";"nested data";"действует";"1058903381";"{coordinates=[37.531224, 55.752897], type=Point}";"";
"Беговая";"Begovaya";"МЦД-1";"город Москва";"Северный административный округ";"Пресненский район";"Центральная";"2";"нет";"";"Шереметьево";"nested data";"{global_id=1721303669, value=Беговая}";"{global_id=1132155386, value=Беговая}";"";"nested data";"действует";"1058905211";"{coordinates=[37.550497, 55.77324], type=Point}";"";
"Белорусская";"Belorusskaya";"МЦД-1";"город Москва";"Центральный административный округ";"Тверской район";"Центральная";"2";"нет";"Калужско-Нижегородский";"Шереметьево";"nested data";"{global_id=1508985008, value=Белорусский вокзал}";"{global_id=1132155385, value=Белорусская}";"Белорусский";"nested data";"действует";"1058906594";"{coordinates=[37.581495, 55.776622], type=Point}";"";
"Савёловская";"Savyolovskaya";"МЦД-1";"город Москва";"Северо-Восточный административный округ";"Бутырский район";"Центральная";"5";"нет";"Калужско-Нижегородский";"Шереметьево";"nested data";"{global_id=1508984420, value=Савёловская}";"{global_id=1132046977, value=Савёловская}";"Савёловский";"nested data";"действует";"1058906777";"{coordinates=[37.590204, 55.794363], type=Point}";"";
"Тимирязевская";"Timiryazevskaya";"МЦД-1";"город Москва";"Северный административный округ";"Бутырский район";"Центральная";"2";"нет";"";"";"nested data";"[]";"{global_id=1132046986, value=Тимирязевская}";"";"nested data";"действует";"1058907003";"{coordinates=[37.575512, 55.819363], type=Point}";"";
"Окружная";"Okruzhnaya";"МЦД-1";"город Москва";"Северный административный округ";"район Марфино";"Центральная";"2";"нет";"";"Шереметьево";"nested data";"{global_id=1508983290, value=Окружная}";"{global_id=1132046990, value=Окружная}";"";"nested data";"действует";"1058907212";"{coordinates=[37.574445, 55.847908], type=Point}";"";
"Дегунино";"Degunino";"МЦД-1";"город Москва";"Северный административный округ";"район Дегунино";"Центральная";"2";"нет";"";"";"nested data";"[]";"{global_id=1132047120, value=Дегунино}";"";"nested data";"действует";"1058907397";"{coordinates=[37.57321, 55.865309], type=Point}";"";
"Бескудниково";"Beskudnikovo";"МЦД-1";"город Москва";"Северный административный округ";"район Дегунино";"Центральная";"2";"нет";"";"";"nested data";"[]";"{global_id=1132155379, value=Бескудниково}";"";"nested data";"действует";"1058907512";"{coordinates=[37.567546, 55.882701], type=Point}";"";
"Лианозово";"Lianozovo";"МЦД-1";"город Москва";"Северный административный округ";"район Лианозово";"Центральная";"2";"нет";"";"";"nested data";"[]";"{global_id=1132155380, value=Лианозово}";"";"nested data";"действует";"1058907703";"{coordinates=[37.553832, 55.897215], type=Point}";"";
"Марк";"Mark";"МЦД-1";"город Москва";"Северный административный округ";"Дмитровский район";"Центральная";"2";"нет";"";"";"nested data";"[]";"{global_id=1132155381, value=Марк}";"";"nested data";"действует";"1058907818";"{coordinates=[37.538593, 55.904234], type=Point}";"";
"Новодачная";"Novodachnaya";"МЦД-1";"городской округ Долгопрудный";"";"";"Пригород";"2";"нет";"";"";"nested data";"[]";"[]";"";"nested data";"действует";"1058907985";"{coordinates=[37.527639, 55.9247], type=Point}";"";
"Долгопрудная";"Dolgoprudnaya";"МЦД-1";"городской округ Долгопрудный";"";"";"Пригород";"2";"нет";"";"";"nested data";"[]";"[]";"";"nested data";"действует";"1058908056";"{coordinates=[37.520658, 55.938454], type=Point}";"";
"Водники";"Vodniki";"МЦД-1";"городской округ Долгопрудный";"";"";"Пригород";"2";"нет";"";"";"nested data";"[]";"[]";"";"nested data";"действует";"1058908183";"{coordinates=[37.512507, 55.952486], type=Point}";"";
"Хлебниково";"Khlebnikovo";"МЦД-1";"городской округ Долгопрудный";"";"";"Пригород";"2";"нет";"";"";"nested data";"[]";"[]";"";"nested data";"действует";"1058908343";"{coordinates=[37.504519, 55.97062], type=Point}";"";
"Шереметьевская";"Sheremetyevskaya";"МЦД-1";"городской округ Долгопрудный";"";"";"Пригород";"2";"нет";"";"";"nested data";"[]";"[]";"";"nested data";"действует";"1058908468";"{coordinates=[37.498799, 55.983856], type=Point}";"";
"Лобня";"Lobnya";"МЦД-1";"городской округ Лобня";"";"";"Пригород";"2";"да";"";"";"nested data";"[]";"[]";"";"nested data";"действует";"1058908633";"{coordinates=[37.484545, 56.013189], type=Point}";"";
"Нахабино";"Nakhabino";"МЦД-2";"городской округ Красногорск";"";"";"Пригород";"3";"да";"";"";"nested data";"[]";"[]";"";"nested data";"действует";"1058974354";"{coordinates=[37.185223, 55.841671], type=Point}";"";
"Аникеевка";"Anikeevka";"МЦД-2";"городской округ Красногорск";"";"";"Пригород";"2";"нет";"";"";"nested data";"[]";"[]";"";"nested data";"действует";"1058974590";"{coordinates=[37.219917, 55.832086], type=Point}";"";
"Опалиха";"Opalikha";"МЦД-2";"городской округ Красногорск";"";"";"Пригород";"1";"нет";"";"";"nested data";"[]";"[]";"";"nested data";"действует";"1058976210";"{coordinates=[37.242622, 55.824731], type=Point}";"";
"Красногорская";"Krasnogorskaya";"МЦД-2";"городской округ Красногорск";"";"";"Пригород";"2";"нет";"";"";"nested data";"[]";"[]";"";"nested data";"действует";"1058976411";"{coordinates=[37.303172, 55.814752], type=Point}";"";
"Павшино";"Pavshino";"МЦД-2";"городской округ Красногорск";"";"";"Пригород";"1";"нет";"";"";"nested data";"[]";"[]";"";"nested data";"действует";"1058976748";"{coordinates=[37.341809, 55.815631], type=Point}";"";
"Пенягино";"Penyagino";"МЦД-2";"городской округ Красногорск";"";"";"Пригород";"1";"нет";"";"";"nested data";"[]";"[]";"";"nested data";"действует";"1058982557";"{coordinates=[37.361165, 55.823149], type=Point}";"";
"Волоколамская";"Volokolamskaya";"МЦД-2";"город Москва";"Северо-Западный административный округ";"район Митино";"Центральная";"1";"нет";"";"";"nested data";"[]";"{global_id=1132155513, value=Волоколамская}";"";"nested data";"действует";"1058982846";"{coordinates=[37.381824, 55.832165], type=Point}";"";
"Трикотажная";"Trikotazhnaya";"МЦД-2";"город Москва";"Северо-Западный административный округ";"район Южное Тушино";"Центральная";"2";"нет";"";"";"nested data";"[]";"{global_id=1132155403, value=Трикотажная}";"";"nested data";"действует";"1058983081";"{coordinates=[37.399195, 55.833127], type=Point}";"";
"Тушинская";"Tushinskaya";"МЦД-2";"город Москва";"Северо-Западный административный округ";"район Покровское-Стрешнево";"Центральная";"2";"нет";"";"";"nested data";"[]";"{global_id=1132155511, value=Тушинская}";"";"nested data";"действует";"1058984243";"{coordinates=[37.439691, 55.827297], type=Point}";"";
"Щукинская";"Schukinskaya";"МЦД-2";"город Москва";"Северо-Западный административный округ";"Покровское-Стрешнево Щукино";"Центральная";"1";"нет";"";"";"nested data";"[]";"{global_id=1132155510, value=Щукинская}";"";"nested data";"действует";"1058984955";"{coordinates=[37.476699, 55.814204], type=Point}";"";
"Стрешнево";"Streshnevo";"МЦД-2";"город Москва";"Северный административный округ";"Войковский район";"Центральная";"2";"нет";"";"";"nested data";"[]";"{global_id=1132155400, value=Стрешнево}";"";"nested data";"действует";"1058985425";"{coordinates=[37.493585, 55.815317], type=Point}";"";
"Гражданская";"Grazhdanskaya";"МЦД-2";"город Москва";"Северный административный округ";"Тимирязевский район";"Центральная";"2";"нет";"";"";"nested data";"[]";"{global_id=1132155397, value=Гражданская}";"";"nested data";"действует";"1058986231";"{coordinates=[37.55388, 55.805418], type=Point}";"";
"Красный Балтиец";"Krasniy Baltiets";"МЦД-2";"город Москва";"Северный административный округ";"район Аэропорт";"Центральная";"2";"нет";"";"";"nested data";"[]";"{global_id=1132155508, value=Красный Балтиец}";"";"nested data";"действует";"1058994867";"{coordinates=[37.525755, 55.815544], type=Point}";"";
"Дмитровская";"Dmitrovskaya";"МЦД-2";"город Москва";"Северо-Восточный административный округ";"Бутырский район";"Центральная";"2";"нет";"";"";"nested data";"[]";"{global_id=1132155396, value=Дмитровская}";"";"nested data";"действует";"1058996666";"{coordinates=[37.579781, 55.808045], type=Point}";"";
"Рижская";"Rizhskaya";"МЦД-2";"город Москва";"Центральный административный округ";"Мещанский район";"Центральная";"1";"нет";"";"";"nested data";"[]";"{global_id=1132155406, value=Рижская}";"Рижский";"nested data";"временно закрыт";"1058999474";"{coordinates=[37.638769, 55.793967], type=Point}";"";
"Площадь трёх вокзалов";"Ploschad treh vokzalov";"МЦД-2";"город Москва";"Центральный административный округ";"Красносельский район";"Центральная";"2";"нет";"Калужско-Нижегородский";"";"nested data";"[]";"{global_id=1132155516, value=Площадь трёх вокзалов}";"Ленинградский";"nested data";"действует";"1059233585";"{coordinates=[37.652112, 55.775773], type=Point}";"";
"Курская";"Kurskaya";"МЦД-2";"город Москва";"Центральный административный округ";"Басманный район";"Центральная";"2";"нет";"Калужско-Нижегородский";"";"nested data";"[]";"{global_id=1132155409, value=Курская}";"Курский";"nested data";"действует";"1059233904";"{coordinates=[37.661519, 55.757614], type=Point}";"";
"Москва-Товарная";"Moskva-Tovarnaya";"МЦД-2";"город Москва";"Юго-Восточный административный округ";"Таганский район";"Центральная";"1";"нет";"Калужско-Нижегородский";"";"nested data";"[]";"{global_id=1132155410, value=Москва-Товарная}";"";"nested data";"действует";"1059234781";"{coordinates=[37.688837, 55.745356], type=Point}";"";
"Калитники";"Kalitniki";"МЦД-2";"город Москва";"Юго-Восточный административный округ";"Нижегородский район";"Центральная";"2";"нет";"";"";"nested data";"[]";"{global_id=1132155520, value=Калитники}";"";"nested data";"действует";"1059234962";"{coordinates=[37.702463, 55.733844], type=Point}";"";
"Новохохловская";"Novokhokhlovskaya";"МЦД-2";"город Москва";"Юго-Восточный административный округ";"Нижегородский район";"Центральная";"1";"нет";"";"";"nested data";"[]";"[]";"";"nested data";"действует";"1059235164";"{coordinates=[37.713798, 55.724282], type=Point}";"";
"Текстильщики";"Tekstilschiki";"МЦД-2";"город Москва";"Юго-Восточный административный округ";"район Текстильщики";"Центральная";"2";"нет";"";"";"nested data";"[]";"{global_id=1132155413, value=Текстильщики}";"";"nested data";"действует";"1059235328";"{coordinates=[37.729899, 55.707111], type=Point}";"";
"Люблино";"Lyublino";"МЦД-2";"город Москва";"Юго-Восточный административный округ";"район Печатники";"Центральная";"2";"нет";"";"";"nested data";"[]";"{global_id=1132155414, value=Люблино}";"";"nested data";"действует";"1059235510";"{coordinates=[37.734005, 55.684985], type=Point}";"";
"Депо";"Depo";"МЦД-2";"город Москва";"Юго-Восточный административный округ";"район Печатники";"Центральная";"1";"нет";"";"";"nested data";"[]";"{global_id=1132155415, value=Депо}";"";"nested data";"действует";"1059235707";"{coordinates=[37.728179, 55.674275], type=Point}";"";
"Перерва";"Pererva";"МЦД-2";"город Москва";"Юго-Восточный административный округ";"район Печатники";"Центральная";"2";"нет";"";"";"nested data";"[]";"{global_id=1132155525, value=Перерва}";"";"nested data";"действует";"1059236171";"{coordinates=[37.716995, 55.661225], type=Point}";"";
"Курьяново";"Kuryanovo";"МЦД-2";"город Москва";"Юго-Восточный административный округ";"район Печатники";"Центральная";"1";"нет";"";"";"nested data";"[]";"{global_id=1132155418, value=Курьяново}";"";"nested data";"действует";"1059236415";"{coordinates=[37.701552, 55.649861], type=Point}";"";
"Москворечье";"Moskvorechye";"МЦД-2";"город Москва";"Южный административный округ";"район Москворечье-Сабурово";"Центральная";"2";"нет";"";"";"nested data";"[]";"{global_id=1132155419, value=Москворечье}";"";"nested data";"действует";"1059237711";"{coordinates=[37.689931, 55.641196], type=Point}";"";
"Царицыно";"Tsaritsyno";"МЦД-2";"город Москва";"Южный административный округ";"район Бирюлево Восточное";"Центральная";"4";"нет";"";"";"nested data";"[]";"{global_id=1132155420, value=Царицыно}";"";"nested data";"действует";"1059237948";"{coordinates=[37.667718, 55.61789], type=Point}";"";
"Покровское";"Pokrovskoe";"МЦД-2";"город Москва";"Южный административный округ";"район Чертаново Южное";"Центральная";"2";"нет";"";"";"nested data";"[]";"{global_id=1132155421, value=Покровское}";"";"nested data";"действует";"1059238143";"{coordinates=[37.632235, 55.603317], type=Point}";"";
"Красный Строитель";"Krasniy Stroitel";"МЦД-2";"город Москва";"Южный административный округ";"район Бирюлево Западное";"Центральная";"2";"нет";"";"";"nested data";"[]";"{global_id=1132155530, value=Красный Строитель}";"";"nested data";"действует";"1059238308";"{coordinates=[37.614536, 55.589168], type=Point}";"";
"Битца";"Bitsa";"МЦД-2";"Ленинский городской округ";"";"";"Центральная";"2";"нет";"";"";"nested data";"[]";"[]";"";"nested data";"действует";"1059238551";"{coordinates=[37.61156, 55.571247], type=Point}";"";
"Бутово";"Butovo";"МЦД-2";"город Москва";"Юго-Западный административный округ";"район Южное Бутово";"Центральная";"2";"нет";"";"";"nested data";"[]";"{global_id=1132155531, value=Бутово}";"";"nested data";"действует";"1059238979";"{coordinates=[37.570544, 55.541226], type=Point}";"";
"Щербинка";"Scherbinka";"МЦД-2";"город Москва";"Новомосковский административный округ";"городской округ Щербинка";"Центральная";"2";"нет";"";"";"nested data";"[]";"{global_id=1132155532, value=Щербинка}";"";"nested data";"действует";"1059239079";"{coordinates=[37.562267, 55.510377], type=Point}";"";
"Остафьево";"Ostafyevo";"МЦД-2";"город Москва";"Новомосковский административный округ";"поселение Рязановское";"Центральная";"2";"нет";"";"";"nested data";"[]";"{global_id=1132155425, value=Остафьево}";"";"nested data";"действует";"1059239080";"{coordinates=[37.555195, 55.486256], type=Point}";"";
"Силикатная";"Silikatnaya";"МЦД-2";"городской округ Подольск";"";"";"Пригород";"2";"нет";"";"";"nested data";"[]";"[]";"";"nested data";"действует";"1059239118";"{coordinates=[37.555112, 55.470495], type=Point}";"";
"Подольск";"Podolsk";"МЦД-2";"городской округ Подольск";"";"";"Пригород";"3";"да";"";"";"nested data";"[]";"[]";"";"nested data";"действует";"1059239214";"{coordinates=[37.565152, 55.432241], type=Point}";"";
"Печатники";"Pechatniki";"МЦД-2";"город Москва";"Юго-Восточный административный округ";"район Печатники";"Центральная";"2";"нет";"";"";"nested data";"[]";"{global_id=2370945789, value=Печатники}";"";"nested data";"действует";"2372331630";"{coordinates=[37.732185, 55.692865], type=Point}";"";
"Марьина Роща";"Maryina Roshcha";"МЦД-2";"";"";"";"Центральная";"1";"нет";"Калужско-Нижегородский";"";"nested data";"[]";"{global_id=2577703365, value=Марьина Роща}";"";"nested data";"действует";"2577702298";"{coordinates=[37.619202, 55.801124], type=Point}";"";
"Зеленоград - Крюково";"Zelenograd - Kryukovo";"МЦД-3";"город Москва";"Зеленоградский административный округ";"район Крюково";"Пригород";"4";"да";"";"";"nested data";"[]";"{global_id=1132155439, value=Зеленоград - Крюково}";"";"nested data";"действует";"2608944175";"{coordinates=[37.173067, 55.980747], type=Point}";"";
"Малино";"Malino";"МЦД-3";"городской округ Химки";"";"";"Пригород";"2";"нет";"";"";"nested data";"[]";"[]";"";"nested data";"временно закрыт";"2608944996";"{coordinates=[37.211379, 55.969218], type=Point}";"";
"Фирсановская";"Firsanovskaya";"МЦД-3";"городской округ Химки";"";"";"Пригород";"2";"нет";"";"";"nested data";"[]";"[]";"";"nested data";"действует";"2608945154";"{coordinates=[37.251948, 55.960109], type=Point}";"";
"Сходня";"Skhodnya";"МЦД-3";"городской округ Химки";"";"";"Пригород";"3";"нет";"";"";"nested data";"[]";"[]";"";"nested data";"действует";"2608945248";"{coordinates=[37.298954, 55.949649], type=Point}";"";
