"NameOfStation";"Line";"Year";"Quarter";"IncomingPassengers";"OutgoingPassengers";"global_id";
"Станция метрополитена";"Линия";"Год";"Квартал";"Входы пассажиров";"Выходы пассажиров";"global_id";
"Пятницкое шоссе";"Арбатско-Покровская линия";"2024";"I квартал";"1541691";"1456681";"2664615729";
"Митино";"Арбатско-Покровская линия";"2024";"I квартал";"2198710";"2106936";"2664615730";
"Волоколамская";"Арбатско-Покровская линия";"2024";"I квартал";"1623080";"1569833";"2664615731";
"Мякинино";"Арбатско-Покровская линия";"2024";"I квартал";"1597220";"1525746";"2664615732";
"Строгино";"Арбатско-Покровская линия";"2024";"I квартал";"2443933";"2381902";"2664615733";
"Крылатское";"Арбатско-Покровская линия";"2024";"I квартал";"2337086";"2300269";"2664615734";
"Молодёжная";"Арбатско-Покровская линия";"2024";"I квартал";"3863844";"3811017";"2664615735";
"Славянский бульвар";"Арбатско-Покровская линия";"2024";"I квартал";"4659567";"4509392";"2664615737";
"Киевская";"Арбатско-Покровская линия";"2024";"I квартал";"3063034";"2836510";"2664615738";
"Площадь Революции";"Арбатско-Покровская линия";"2024";"I квартал";"2837628";"2803263";"2664615739";
"Бауманская";"Арбатско-Покровская линия";"2024";"I квартал";"4595852";"4800912";"2664615740";
"Электрозаводская";"Арбатско-Покровская линия";"2024";"I квартал";"2645020";"2839726";"2664615741";
"Семёновская";"Арбатско-Покровская линия";"2024";"I квартал";"2560223";"2633454";"2664615742";
"Партизанская";"Арбатско-Покровская линия";"2024";"I квартал";"1645724";"1549057";"2664615743";
"Измайловская";"Арбатско-Покровская линия";"2024";"I квартал";"1565800";"1580924";"2664615744";
"Первомайская";"Арбатско-Покровская линия";"2024";"I квартал";"2899792";"2869239";"2664615745";
"Щёлковская";"Арбатско-Покровская линия";"2024";"I квартал";"6101781";"5758029";"2664615746";
"ЦСКА";"Большая кольцевая линия";"2024";"I квартал";"3123959";"3192267";"2664615747";
"Хорошёвская";"Большая кольцевая линия";"2024";"I квартал";"1176079";"1202103";"2664615749";
"Народное Ополчение";"Большая кольцевая линия";"2024";"I квартал";"1950577";"1939137";"2664615750";
"Мнёвники";"Большая кольцевая линия";"2024";"I квартал";"54239";"47364";"2664615751";
"Авиамоторная";"Большая кольцевая линия";"2024";"I квартал";"1042435";"1153131";"2664615752";
"Терехово";"Большая кольцевая линия";"2024";"I квартал";"508085";"536130";"2664615753";
"Кунцевская";"Большая кольцевая линия";"2024";"I квартал";"1737980";"1720030";"2664615754";
"Давыдково";"Большая кольцевая линия";"2024";"I квартал";"1126003";"1136067";"2664615755";
"Аминьевская";"Большая кольцевая линия";"2024";"I квартал";"2013496";"1981960";"2664615756";
"Проспект Вернадского";"Большая кольцевая линия";"2024";"I квартал";"717054";"744134";"2664615757";
"Новаторская";"Большая кольцевая линия";"2024";"I квартал";"1374086";"1387208";"2664615758";
"Воронцовская";"Большая кольцевая линия";"2024";"I квартал";"1280971";"1340191";"2664615760";
"Зюзино";"Большая кольцевая линия";"2024";"I квартал";"1945786";"1959775";"2664615761";
"Каховская";"Большая кольцевая линия";"2024";"I квартал";"1458320";"1501235";"2664615762";
"Кленовый бульвар";"Большая кольцевая линия";"2024";"I квартал";"653629";"675843";"2664615763";
"Нагатинский Затон";"Большая кольцевая линия";"2024";"I квартал";"438420";"444794";"2664615764";
"Сокольники";"Большая кольцевая линия";"2024";"I квартал";"1617536";"1689047";"2664615765";
"Рижская";"Большая кольцевая линия";"2024";"I квартал";"637279";"662974";"2664615766";
"Марьина Роща";"Большая кольцевая линия";"2024";"I квартал";"673454";"687964";"2664615767";
"Битцевский парк";"Бутовская линия Лёгкого метро";"2024";"I квартал";"205419";"144437";"2664615768";
"Лесопарковая";"Бутовская линия Лёгкого метро";"2024";"I квартал";"715723";"680483";"2664615769";
"Улица Старокачаловская";"Бутовская линия Лёгкого метро";"2024";"I квартал";"0";"0";"2664615770";
"Улица Скобелевская";"Бутовская линия Лёгкого метро";"2024";"I квартал";"1676787";"1609167";"2664615771";
"Бульвар адмирала Ушакова";"Бутовская линия Лёгкого метро";"2024";"I квартал";"1057986";"1045710";"2664615772";
"Улица Горчакова";"Бутовская линия Лёгкого метро";"2024";"I квартал";"822780";"804855";"2664615774";
"Бунинская аллея";"Бутовская линия Лёгкого метро";"2024";"I квартал";"1892500";"1845893";"2664615775";
"Ховрино";"Замоскворецкая линия";"2024";"I квартал";"3976426";"3597658";"2664615776";
"Беломорская";"Замоскворецкая линия";"2024";"I квартал";"2402670";"2295644";"2664615777";
"Речной вокзал";"Замоскворецкая линия";"2024";"I квартал";"2195032";"2146725";"2664615778";
"Водный стадион";"Замоскворецкая линия";"2024";"I квартал";"3477502";"3478774";"2664615779";
"Войковская";"Замоскворецкая линия";"2024";"I квартал";"3990352";"4011777";"2664615780";
"Сокол";"Замоскворецкая линия";"2024";"I квартал";"3058392";"3090182";"2664615781";
"Аэропорт";"Замоскворецкая линия";"2024";"I квартал";"3015517";"3078377";"2664615782";
"Динамо";"Замоскворецкая линия";"2024";"I квартал";"2374580";"2411151";"2664615784";
"Белорусская";"Замоскворецкая линия";"2024";"I квартал";"2320708";"2294367";"2664615785";
"Маяковская";"Замоскворецкая линия";"2024";"I квартал";"3067754";"3181691";"2664615786";
"Тверская";"Замоскворецкая линия";"2024";"I квартал";"0";"0";"2664615787";
"Театральная";"Замоскворецкая линия";"2024";"I квартал";"0";"0";"2664615788";
"Новокузнецкая";"Замоскворецкая линия";"2024";"I квартал";"2753174";"2896858";"2664615789";
"Павелецкая";"Замоскворецкая линия";"2024";"I квартал";"2654276";"2203996";"2664615790";
"Автозаводская";"Замоскворецкая линия";"2024";"I квартал";"3153491";"3296201";"2664615791";
"Технопарк";"Замоскворецкая линия";"2024";"I квартал";"1729698";"1749248";"2664615792";
"Коломенская";"Замоскворецкая линия";"2024";"I квартал";"3312128";"3326895";"2664615793";
"Каширская";"Замоскворецкая линия";"2024";"I квартал";"0";"0";"2664615794";
"Кантемировская";"Замоскворецкая линия";"2024";"I квартал";"2656221";"2629006";"2664615796";
"Царицыно";"Замоскворецкая линия";"2024";"I квартал";"4955587";"4725575";"2664615797";
"Орехово";"Замоскворецкая линия";"2024";"I квартал";"1482364";"1424932";"2664615798";
"Домодедовская";"Замоскворецкая линия";"2024";"I квартал";"4956609";"4629849";"2664615799";
"Красногвардейская";"Замоскворецкая линия";"2024";"I квартал";"1554786";"1517368";"2664615800";
"Алма-Атинская";"Замоскворецкая линия";"2024";"I квартал";"1139373";"1106952";"2664615801";
"Новокосино";"Калининская линия";"2024";"I квартал";"4629947";"4499291";"2664615802";
"Новогиреево";"Калининская линия";"2024";"I квартал";"5479880";"5287289";"2664615803";
"Перово";"Калининская линия";"2024";"I квартал";"3270510";"3233650";"2664615804";
"Шоссе Энтузиастов";"Калининская линия";"2024";"I квартал";"1811105";"1918463";"2664615805";
"Площадь Ильича";"Калининская линия";"2024";"I квартал";"1638896";"1650377";"2664615806";
"Марксистская";"Калининская линия";"2024";"I квартал";"1887329";"1970200";"2664615808";
"Медведково";"Калужско-Рижская линия";"2024";"I квартал";"4531813";"4372520";"2664615809";
"Бабушкинская";"Калужско-Рижская линия";"2024";"I квартал";"4055724";"4003369";"2664615810";
"Свиблово";"Калужско-Рижская линия";"2024";"I квартал";"2057391";"2056962";"2664615811";
"Ботанический сад";"Калужско-Рижская линия";"2024";"I квартал";"1759315";"1923438";"2664615812";
"ВДНХ";"Калужско-Рижская линия";"2024";"I квартал";"7426200";"6955047";"2664615813";
"Алексеевская";"Калужско-Рижская линия";"2024";"I квартал";"2753696";"2811478";"2664615814";
"Сухаревская";"Калужско-Рижская линия";"2024";"I квартал";"1766740";"1856136";"2664615815";
"Тургеневская";"Калужско-Рижская линия";"2024";"I квартал";"1760264";"1859558";"2664615816";
"Китай-город";"Калужско-Рижская линия";"2024";"I квартал";"4962901";"5136461";"2664615817";
"Октябрьская";"Калужско-Рижская линия";"2024";"I квартал";"1121731";"1174055";"2664615818";
"Шаболовская";"Калужско-Рижская линия";"2024";"I квартал";"2106370";"2220843";"2664615819";
"Ленинский проспект";"Калужско-Рижская линия";"2024";"I квартал";"2936913";"3336461";"2664615820";
"Академическая";"Калужско-Рижская линия";"2024";"I квартал";"2798952";"2832550";"2664615822";
"Профсоюзная";"Калужско-Рижская линия";"2024";"I квартал";"2587758";"2656541";"2664615823";
"Новые Черёмушки";"Калужско-Рижская линия";"2024";"I квартал";"2909339";"2965512";"2664615824";
"Калужская";"Калужско-Рижская линия";"2024";"I квартал";"2220452";"2320997";"2664615825";
"Беляево";"Калужско-Рижская линия";"2024";"I квартал";"3115424";"3159528";"2664615826";
"Коньково";"Калужско-Рижская линия";"2024";"I квартал";"2435666";"2430909";"2664615827";
"Тёплый стан";"Калужско-Рижская линия";"2024";"I квартал";"4987181";"4872391";"2664615828";
"Ясенево";"Калужско-Рижская линия";"2024";"I квартал";"2647245";"2611831";"2664615829";
"Новоясеневская";"Калужско-Рижская линия";"2024";"I квартал";"570623";"551256";"2664615830";
"Краснопресненская";"Кольцевая линия";"2024";"I квартал";"1786835";"1850482";"2664615831";
"Новослободская";"Кольцевая линия";"2024";"I квартал";"2512256";"2670723";"2664615832";
"Проспект Мира";"Кольцевая линия";"2024";"I квартал";"1971123";"2037486";"2664615833";
"Курская";"Кольцевая линия";"2024";"I квартал";"4241573";"3918773";"2664615835";
"Добрынинская";"Кольцевая линия";"2024";"I квартал";"1873667";"1955771";"2664615836";
"Селигерская";"Люблинско-Дмитровская линия";"2024";"I квартал";"2585251";"2524814";"2664615837";
"Верхние Лихоборы";"Люблинско-Дмитровская линия";"2024";"I квартал";"1202474";"1187682";"2664615838";
"Окружная";"Люблинско-Дмитровская линия";"2024";"I квартал";"922551";"971161";"2664615839";
"Петровско-Разумовская";"Люблинско-Дмитровская линия";"2024";"I квартал";"1880007";"1802044";"2664615840";
"Фонвизинская";"Люблинско-Дмитровская линия";"2024";"I квартал";"1195583";"1189246";"2664615841";
"Бутырская";"Люблинско-Дмитровская линия";"2024";"I квартал";"1323232";"1356691";"2664615842";
"Достоевская";"Люблинско-Дмитровская линия";"2024";"I квартал";"1123755";"1165508";"2664615843";
"Трубная";"Люблинско-Дмитровская линия";"2024";"I квартал";"1544386";"1627954";"2664615844";
"Сретенский бульвар";"Люблинско-Дмитровская линия";"2024";"I квартал";"698855";"746916";"2664615845";
"Чкаловская";"Люблинско-Дмитровская линия";"2024";"I квартал";"1794309";"1843229";"2664615846";
"Римская";"Люблинско-Дмитровская линия";"2024";"I квартал";"1466489";"1493526";"2664615848";
"Крестьянская застава";"Люблинско-Дмитровская линия";"2024";"I квартал";"683482";"714651";"2664615849";
"Дубровка";"Люблинско-Дмитровская линия";"2024";"I квартал";"1463709";"1524437";"2664615850";
"Кожуховская";"Люблинско-Дмитровская линия";"2024";"I квартал";"1790839";"1850284";"2664615852";
"Печатники";"Люблинско-Дмитровская линия";"2024";"I квартал";"1841123";"1839896";"2664615853";
"Волжская";"Люблинско-Дмитровская линия";"2024";"I квартал";"1340570";"1352181";"2664615854";
"Люблино";"Люблинско-Дмитровская линия";"2024";"I квартал";"3371544";"3266709";"2664615855";
"Братиславская";"Люблинско-Дмитровская линия";"2024";"I квартал";"3201855";"3170033";"2664615856";
"Марьино";"Люблинско-Дмитровская линия";"2024";"I квартал";"2715011";"2670896";"2664615857";
"Борисово";"Люблинско-Дмитровская линия";"2024";"I квартал";"973392";"957899";"2664615858";
"Шипиловская";"Люблинско-Дмитровская линия";"2024";"I квартал";"1204817";"1199792";"2664615859";
"Зябликово";"Люблинско-Дмитровская линия";"2024";"I квартал";"948667";"928130";"2664615860";
"Улица Сергея Эйзенштейна";"Московская монорельсовая транспортная система";"2024";"I квартал";"22071";"19348";"2664615862";
"Выставочный центр";"Московская монорельсовая транспортная система";"2024";"I квартал";"107246";"91817";"2664615863";
"Улица Академика Королёва";"Московская монорельсовая транспортная система";"2024";"I квартал";"15333";"13691";"2664615864";
"Телецентр";"Московская монорельсовая транспортная система";"2024";"I квартал";"31323";"27220";"2664615865";
"Улица Милашенкова";"Московская монорельсовая транспортная система";"2024";"I квартал";"19085";"16946";"2664615866";
"Лихоборы";"Московское центральное кольцо";"2024";"I квартал";"1201510";"1224242";"2664615867";
"Ростокино";"Московское центральное кольцо";"2024";"I квартал";"2683768";"2701222";"2664615868";
"Белокаменная";"Московское центральное кольцо";"2024";"I квартал";"133554";"140812";"2664615869";
"Локомотив";"Московское центральное кольцо";"2024";"I квартал";"923499";"938130";"2664615870";
"Измайлово";"Московское центральное кольцо";"2024";"I квартал";"817728";"869143";"2664615871";
"Соколиная Гора";"Московское центральное кольцо";"2024";"I квартал";"536462";"567733";"2664615872";
"Андроновка";"Московское центральное кольцо";"2024";"I квартал";"657711";"663475";"2664615873";
"Новохохловская";"Московское центральное кольцо";"2024";"I квартал";"521945";"535774";"2664615875";
"Угрешская";"Московское центральное кольцо";"2024";"I квартал";"435756";"461197";"2664615876";
"ЗИЛ";"Московское центральное кольцо";"2024";"I квартал";"924011";"971959";"2664615877";
"Верхние Котлы";"Московское центральное кольцо";"2024";"I квартал";"1276529";"1324292";"2664615878";
"Крымская";"Московское центральное кольцо";"2024";"I квартал";"856864";"897485";"2664615879";
"Площадь Гагарина";"Московское центральное кольцо";"2024";"I квартал";"1062004";"1274522";"2664615880";
"Лужники";"Московское центральное кольцо";"2024";"I квартал";"765334";"889204";"2664615881";
"Шелепиха";"Московское центральное кольцо";"2024";"I квартал";"660425";"713332";"2664615882";
"Хорошёво";"Московское центральное кольцо";"2024";"I квартал";"530973";"563864";"2664615883";
"Зорге";"Московское центральное кольцо";"2024";"I квартал";"397970";"417180";"2664615884";
"Панфиловская";"Московское центральное кольцо";"2024";"I квартал";"537548";"570393";"2664615885";
"Стрешнево";"Московское центральное кольцо";"2024";"I квартал";"1441242";"1477384";"2664615886";
"Балтийская";"Московское центральное кольцо";"2024";"I квартал";"951151";"1028518";"2664615887";
"Коптево";"Московское центральное кольцо";"2024";"I квартал";"1323710";"1382838";"2664615888";
"Нижегородская";"Некрасовская линия";"2024";"I квартал";"3060849";"3363376";"2664615889";
